Price,journey_day,journey_month,journey_year,Dept_Time_hour,Dept_Time_min,Arrival_Time_hour,Arrival_Time_min,dur_hour,dur_min
3897,24,3,2019,22,20,1,10,2,50
7662,1,5,2019,5,50,13,15,7,25
13882,9,6,2019,9,25,4,25,19,0
6218,12,5,2019,18,5,23,30,5,25
13302,1,3,2019,16,50,21,35,4,45
3873,24,6,2019,9,0,11,25,2,25
11087,12,3,2019,18,55,10,25,15,30
22270,1,3,2019,8,0,5,5,21,5
11087,12,3,2019,8,55,10,25,25,30
8625,27,5,2019,11,25,19,15,7,50
8907,1,6,2019,9,45,23,0,13,15
4174,18,4,2019,20,20,22,55,2,35
4667,24,6,2019,11,40,13,55,2,15
9663,9,5,2019,21,10,9,20,12,10
4804,24,4,2019,17,15,19,50,2,35
14011,3,3,2019,16,40,19,15,26,35
5830,15,4,2019,8,45,13,15,4,30
10262,12,6,2019,14,0,12,35,22,35
13381,12,6,2019,20,15,19,15,23,0
12898,27,5,2019,16,0,12,35,20,35
19495,6,3,2019,14,10,19,20,5,10
6955,21,3,2019,22,0,13,20,15,20
3943,3,4,2019,4,0,6,50,2,50
4823,1,5,2019,18,55,21,50,2,55
7757,6,5,2019,18,55,8,15,13,20
13292,9,6,2019,21,25,12,35,15,10
8238,1,6,2019,21,50,3,35,5,45
7682,15,5,2019,7,0,12,55,5,55
4668,18,6,2019,9,45,12,35,2,50
3687,15,6,2019,7,5,9,20,2,15
3687,18,6,2019,7,5,9,20,2,15
13227,1,5,2019,9,50,23,15,13,25
4423,6,4,2019,4,0,6,50,2,50
10919,15,6,2019,14,35,12,35,22,0
12373,18,5,2019,7,5,12,35,5,30
5894,27,6,2019,10,35,21,0,10,25
4649,21,5,2019,15,5,20,20,5,15
6245,18,5,2019,14,15,16,45,2,30
19225,6,3,2019,7,0,13,15,6,15
14924,3,6,2019,7,5,19,0,11,55
9646,21,5,2019,7,5,18,10,11,5
8714,15,3,2019,6,45,15,15,8,30
12373,18,5,2019,20,55,19,0,22,5
3383,6,5,2019,11,10,13,55,2,45
13062,21,3,2019,9,0,21,0,12,0
3527,24,3,2019,5,45,8,35,2,50
3943,27,5,2019,4,0,6,50,2,50
4667,3,5,2019,11,40,13,55,2,15
6117,15,5,2019,19,0,11,5,16,5
11150,27,6,2019,23,5,19,0,19,55
7202,9,3,2019,11,0,14,15,3,15
12121,1,5,2019,9,35,10,55,25,20
4377,24,3,2019,22,20,1,10,2,50
3943,18,6,2019,21,15,0,15,3,0
4483,3,4,2019,23,55,2,45,2,50
14231,24,3,2019,19,45,12,0,16,15
17345,1,3,2019,8,50,23,55,15,5
7414,6,3,2019,7,5,9,20,2,15
8073,6,5,2019,19,0,1,30,6,30
12395,6,3,2019,15,40,16,45,25,5
8366,6,6,2019,9,25,21,50,12,25
5117,3,4,2019,6,5,9,25,27,20
12524,3,6,2019,8,45,19,0,10,15
7191,15,5,2019,15,0,1,30,10,30
3687,24,5,2019,7,5,9,20,2,15
5894,24,6,2019,10,35,21,0,10,25
5403,24,4,2019,9,45,12,35,2,50
3625,6,5,2019,13,55,15,25,1,30
10861,21,5,2019,5,55,19,15,13,20
6297,12,3,2019,13,20,15,35,2,15
5678,1,6,2019,7,5,8,30,1,25
9134,9,3,2019,5,45,8,15,26,30
10791,24,6,2019,11,40,19,0,7,20
12819,24,6,2019,23,5,12,35,13,30
6893,21,3,2019,5,5,10,5,5,0
7240,9,3,2019,9,50,12,35,2,45
3898,3,4,2019,11,40,14,30,2,50
4049,3,4,2019,6,25,7,55,1,30
10262,15,6,2019,17,30,12,35,19,5
3332,21,3,2019,8,20,10,35,2,15
10844,9,6,2019,21,10,12,0,14,50
7229,24,3,2019,19,55,22,35,2,40
13941,6,5,2019,6,30,4,40,22,10
5894,27,6,2019,11,25,21,0,9,35
10197,18,5,2019,9,0,19,0,10,0
13712,6,3,2019,14,5,11,25,21,20
5636,24,6,2019,2,0,7,25,5,25
13014,6,6,2019,9,40,4,25,18,45
7064,1,4,2019,8,25,20,45,12,20
10703,24,5,2019,20,25,14,25,18,0
9646,27,5,2019,13,15,22,30,9,15
17057,6,3,2019,2,15,13,20,11,5
13817,12,3,2019,16,55,10,25,17,30
13748,6,3,2019,5,55,19,15,13,20
4880,21,4,2019,20,45,23,20,2,35
3540,21,6,2019,5,15,7,40,2,25
3257,15,5,2019,5,55,8,35,2,40
6478,3,6,2019,19,50,22,50,3,0
8040,18,6,2019,7,5,8,30,1,25
14300,12,6,2019,20,0,12,35,16,35
14781,15,5,2019,8,25,20,45,12,20
14939,9,6,2019,20,0,8,15,12,15
10262,24,6,2019,20,55,4,25,7,30
6528,12,5,2019,14,35,14,35,24,0
6121,1,5,2019,6,10,8,55,2,45
13029,18,5,2019,19,30,4,25,8,55
11421,27,3,2019,11,40,18,50,7,10
7574,27,3,2019,4,45,19,15,14,30
11596,9,5,2019,12,55,19,15,30,20
15129,24,5,2019,23,5,19,0,19,55
13555,18,3,2019,14,5,5,5,15,0
5780,12,4,2019,18,55,21,50,2,55
9397,12,5,2019,20,20,9,5,12,45
17024,6,3,2019,18,15,4,25,10,10
5281,27,6,2019,7,0,12,55,5,55
10348,18,5,2019,7,5,22,30,15,25
12677,6,3,2019,17,20,9,25,16,5
15147,3,3,2019,15,25,1,35,10,10
4668,12,6,2019,7,0,9,40,2,40
15554,9,5,2019,7,5,19,0,11,55
3971,9,4,2019,5,55,8,35,2,40
3100,3,5,2019,15,0,16,25,1,25
9663,6,5,2019,20,0,10,5,14,5
27430,1,3,2019,23,0,19,15,20,15
3540,12,5,2019,5,15,7,40,2,25
10676,21,5,2019,12,0,11,10,23,10
13044,12,6,2019,14,5,8,15,18,10
14388,6,5,2019,20,0,12,0,16,0
3943,24,6,2019,4,0,6,50,2,50
3597,3,6,2019,14,45,17,5,2,20
5932,21,3,2019,11,50,19,50,8,0
10262,15,6,2019,11,30,4,25,16,55
6216,12,5,2019,14,40,17,50,3,10
4804,15,6,2019,20,25,23,10,2,45
14067,21,5,2019,11,30,1,30,14,0
15129,18,5,2019,19,10,19,0,23,50
13376,6,6,2019,6,45,4,25,21,40
